
Reza Marzban
The following sort functions are done on the whole data provided, but only 50 record of each query's result are printed just to show a subset of results and also save space.
-----------------------------
Testing the functions and printing their results:
1.Sorting Blocks by Gas Used increasing:
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
0x92a548dbefb3b27c0e5c03392e596e3812d486104bf3af86b7eba1d93cd86a32	3110560	4343	1538785738	5764973	0x0000000000000000000000000000000000000000	7685897	1017152 
 
0x340532db297ac59d7768d45c3e63528056615eaef452b8d269cab6e7ae1851d1	3110743	2188	1538788487	5765198	0x0000000000000000000000000000000000000000	7756878	1022922 
 
0x85a0a484b81ab4dc58cb9b1202cdf2627816e76f01df1cb5d310c7d2c379105a	3110604	3030	1538786400	5765030	0x0000000000000000000000000000000000000000	7714644	1033901 
 
0xf7c3b58176b0297de12427bd1f91af2975df9b0130c5fc558391de9a98d2c5f8	3110444	2754	1538783998	5764824	0x0000000000000000000000000000000000000000	7760609	1036274 
 
0x8ad981ade44bb08f89745e061b01e182fbd19dd169dd6aa2a375d3addd35d340	3110295	3234	1538781762	5764638	0x0000000000000000000000000000000000000000	7955353	1036967 
 
0xb2434ab472f1abc1ef20430eea207370791f3d173a9931de664766d3c6697a07	3110779	2661	1538789027	5765244	0x0000000000000000000000000000000000000000	7757736	1044402 
 
0x20036aedc4f13212e0856da72a35e35455a138f5ba796b1b07288212a63eb859	3110063	4361	1538778281	5764345	0x0000000000000000000000000000000000000000	7761444	1045982 
 
0x97637af34225d118050cfc929cc41d2048faa2add233ee81d8372789e8f7083f	3110019	4589	1538777621	5764288	0x0000000000000000000000000000000000000000	7772793	1056930 
 
0xea4d9301327fbc8c0ca6a7cfe7630b8cceef8592fc72bcc19c7550802d4e545a	3110554	5486	1538785648	5764963	0x0000000000000000000000000000000000000000	7693597	1072456 
 
0x352f8ec984921c971f898e34aa88bfce984adb38bd3f32868f978a95f8ddb7a8	3110434	3354	1538783847	5764810	0x0000000000000000000000000000000000000000	7776192	1078104 
 
0x2feb2d0c886b4eacc9d866e94990cbb72a6434f12a9f303f63984bd331cebb21	3110675	5527	1538787466	5765114	0x0000000000000000000000000000000000000000	7749395	1082100 
 
0xd93240d42fb17fc8a0a439db5647df7c6f2f108ec961fa2ef1d0b7ee7540090b	3110495	4342	1538784763	5764887	0x0000000000000000000000000000000000000000	7742693	1082875 
 
0xdfe3aa835666d1122a8c7999245710ab4d2af3ce1081f3b25f225b6baf55a04c	3110056	4565	1538778176	5764337	0x0000000000000000000000000000000000000000	7766157	1084802 
 
0xe1dc60d83109accec07b5d0cc2482f645df1791f829849d51aa01c9a17342832	3110742	2923	1538788472	5765197	0x0000000000000000000000000000000000000000	7749312	1088634 
 
0x4252551e102d7f1caf837ed390669776922c11ae6a8c9732892f942f76f513b4	3110308	4889	1538781957	5764655	0x0000000000000000000000000000000000000000	7924189	1088996 
 
0xdd345b670609971aca3ef504099c2b809269bf3f0bb494899915e823c6472a8b	3110664	4678	1538787300	5765100	0x0000000000000000000000000000000000000000	7756090	1091207 
 
 
-----------------------------
running time of Sorting Blocks by Gas Used increasing on the whole data (in milliseconds): 12
__________________________________________________________________________________________________

2.Sorting Blocks by number of Transaction increasing (cross refrensed to transaction to compare number of transactions in each block):
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
 
0xf47547af988f39f39bb69d714cde40014a59acd26a190567be3180ee57d71a3f	3110681	3057	1538787557	5765120	0x0000000000000000000000000000000000000000	7738133	7720841 
 
0x140513bff9f04748940a9caaee17ac533faa031f8f84c2f9c9d6f65e49222a8c	3110723	1490	1538788187	5765172	0x0000000000000000000000000000000000000000	7748440	670635 
 
0x90bc939ce0c14272f9d905fd50fa477baeae9dac6a6c0bb24e38954c204f7356	3110710	1970	1538787992	5765158	0x0000000000000000000000000000000000000000	7735105	7084661 
 
0x210000e857272e181e99958dba35a0f0cb0a8047cf79ee7538d8628740f92c18	3110013	1979	1538777531	5764281	0x0000000000000000000000000000000000000000	7769991	7088201 
 
0x9036fe3e954eb628353ce2b53677a0c7ef0b56a7091ba18d6f9826e85bb3fc5b	3110073	1660	1538778431	5764356	0x0000000000000000000000000000000000000000	7756237	1924597 
 
0x0df1cc821741b95d819d63e386ce19154eaae3ef147da352edc45afb2ab2a1d9	3110771	2110	1538788907	5765234	0x0000000000000000000000000000000000000000	7752425	7085014 
 
0xa1894ff3576bc6d83da6643c076c1ce4a3bdac895ac663a735b36cc745072137	3110735	3773	1538788367	5765188	0x0000000000000000000000000000000000000000	7756305	933218 
 
0x1cce16e2bd0973a87a83150bd4fa09f484ee4eb7202479e31af69db921889d1c	3110734	2277	1538788352	5765186	0x0000000000000000000000000000000000000000	7748739	7140152 
 
0x8116ba39d9ff0e886dece8e6cb67b6c01877fd32b717c23ce7347fdd34cdddd1	3110055	1976	1538778161	5764336	0x0000000000000000000000000000000000000000	7763415	7046845 
 
0x97ebf56b30cab6a03b1512f8a81d399929086b575da7fd1120d6f50412985d2b	3110191	2110	1538780202	5764509	0x0000000000000000000000000000000000000000	7804508	7045608 
 
0xc0e9c309356d2582e42b11ded93fe098b6401d90f95d4ff0e69a89afea1883c9	3110044	2431	1538777996	5764320	0x0000000000000000000000000000000000000000	7775173	7360408 
 
0xff8aaa93d0bdde9808045815cb20832807d865e55567ffbccc5a9bf8aaa7e295	3110719	2239	1538788127	5765168	0x0000000000000000000000000000000000000000	7748003	7264332 
 
0xfc773a65e5be61a05edd2939d62411d71f7ac08f2fad96a7022a379bdf73ec5e	3110228	1629	1538780757	5764553	0x0000000000000000000000000000000000000000	7894155	5416533 
 
0x7b3ea5f6acd56b463bb5d0197fa45428c783b21b83e42117db5dcacb8d38ac63	3110255	2110	1538781162	5764586	0x0000000000000000000000000000000000000000	7945241	7077543 
 
0x200e3ba2b28ae216f3ef35e8cf4451f9572c94896894e262de95f54236c6e313	3110623	1564	1538786685	5765053	0x0000000000000000000000000000000000000000	7718421	833221 
 
0x40ee0f22b718ee79b44901a09dab4ef3a516118564d0e8ca447dc43d48d7d1fc	3110141	3131	1538779452	5764444	0x0000000000000000000000000000000000000000	7762267	7148042 
 
0xc9195cd1685220d08188844d09a0c5fe5354db8f1449ce6ed117ed05a21d0bf9	3110139	2365	1538779422	5764441	0x0000000000000000000000000000000000000000	7760171	7165829 
 
0xf7f5e1e61e05c66c5d0afbaf6f4ae9bf78134c25d7dcf5f1d0de01ecbfc03d66	3110531	2110	1538785303	5764934	0x0000000000000000000000000000000000000000	7702656	7056699 
 
0xb8bf71a8f81789268e91b82d73328f5fc74d2401a68aa5fe95e788d9debf2a67	3110792	2204	1538789222	5765263	0x0000000000000000000000000000000000000000	7738262	6959783 
 
0x7aac391fe2202b1860ba2ca2605990010aac2e1ed4c6310f1dfd787c96fac025	3110259	1978	1538781222	5764591	0x0000000000000000000000000000000000000000	7953145	6820960 
 
0xb65234377570ba583adc3cc880b9eafe24ca05f5e29b89fa87afaea9bc50f954	3110530	1832	1538785288	5764933	0x0000000000000000000000000000000000000000	7708779	958486 
 
0x06ac8b5df638ac06982718633ff66af77efe6c9dabc173e7fff8d33dfaddd30f	3110023	2179	1538777681	5764293	0x0000000000000000000000000000000000000000	7767619	7084970 
 
0xe406fbf387a2a73c9816cf6f5815e27ab1cae5307afd686771da2b0187dde23e	3110720	4271	1538788142	5765169	0x0000000000000000000000000000000000000000	7755568	1169457 
 
0x74a65819aae7dec8bd2c0bcf038bf36be5c486c62b6fe0530bd9a9d8e3cff87f	3110721	6098	1538788157	5765170	0x0000000000000000000000000000000000000000	7749709	7738190 
 
0xd432eb0b9181f337ab2a862faa4e88911b8410b70853c24825a612dc556dbf3a	3110666	3182	1538787331	5765102	0x0000000000000000000000000000000000000000	7745546	7744386 
 
0x27c98b3646a87553bd5c7e4f9a2313c24149bc7f543d0a950b6befe749fd106f	3110189	3534	1538780172	5764506	0x0000000000000000000000000000000000000000	7800387	7315887 
 
0x8ac8543a8680a6fc1d5679a0f0cd36ce57c6af9001bc6a9bc5b311564e182bb7	3110188	2476	1538780157	5764504	0x0000000000000000000000000000000000000000	7797600	7100288 
 
0x2dec8853150c1fc8a189ed1145c2d8507bceae742c4f9f041e7f11383c6586a3	3110264	2546	1538781297	5764596	0x0000000000000000000000000000000000000000	7959185	7105192 
 
0x45ec538d091cb720e2b627e26a61338bd6fdaa4ec63ae35990097b312231058e	3110770	2250	1538788892	5765233	0x0000000000000000000000000000000000000000	7749463	7187691 
 
0x8dc725da4a25b0a76f02592f42f645e0f4470b9423c97e146f99dcb13fa2e5c0	3110082	3660	1538778566	5764369	0x0000000000000000000000000000000000000000	7750154	7477920 
 
0xe397624a711d420c7ae9ec4a8fd4cab235316a20712a41743271d7b37a980573	3110784	4271	1538789102	5765252	0x0000000000000000000000000000000000000000	7770000	1096918 
 
0x389e60d6dd9739bec8d95b8a62ff024ba970c34de75032a04d5fb47e37ee6d2b	3110744	2346	1538788502	5765200	0x0000000000000000000000000000000000000000	7750802	6983064 
 
0x425281df23f6a86984691df5a536c74203111d166ce7cb42d3e9d2d10494b533	3110080	2314	1538778536	5764366	0x0000000000000000000000000000000000000000	7739920	6984814 
 
0x2d652061aeb6b62ef0666af11c0c740a4f929b947b58d3fd506337ef5efdcad6	3110204	2378	1538780397	5764523	0x0000000000000000000000000000000000000000	7832335	7012426 
 
0x85d126b1da1dfbe70a3104c0be51fe20bb813ac0b174efaac44ea0a79870ab59	3110706	2762	1538787932	5765152	0x0000000000000000000000000000000000000000	7734872	7462731 
 
0x6e2f4d5ea1ce241a60593738f8a7be1362c09fad32c97ba98149e8cf8ae0274b	3110702	6130	1538787872	5765146	0x0000000000000000000000000000000000000000	7740673	7735683 
 
0xcb07ec2fb6baf22828d8a253da3a2560c2350272f714a20789678a6a72c66b24	3110803	2124	1538789387	5765276	0x0000000000000000000000000000000000000000	7728226	7148985 
 
0x821a077844aaf48276904ea18ca9e5682dc33478eca411f703a6b06888046488	3110432	2476	1538783817	5764808	0x0000000000000000000000000000000000000000	7778130	7069268 
 
0x48ea4ba2d9574b03dec155ded0534430e53cecf8f54b2cad03bd3f9c98770b56	3110223	2478	1538780682	5764547	0x0000000000000000000000000000000000000000	7881584	7304683 
 
0x62b1464bbfcc234e8620ed1bdd0181025507f32229b0c89e18c93955de1f94c8	3110224	2439	1538780697	5764548	0x0000000000000000000000000000000000000000	7884589	7297199 
 
0x8c3c760c1fe973612daa9f9d225fb4491c6f16ce8250b54e6eeff8c5e8d32ab2	3110712	2476	1538788022	5765160	0x0000000000000000000000000000000000000000	7745485	7016057 
 
0x88f2d4fdc122ea8cd52dacdf6eaab3ccf6aba185b5e58be6ff4ee2cbe11f1d4e	3110711	4175	1538788007	5765159	0x0000000000000000000000000000000000000000	7737930	991003 
 
0x8b528585b57a53e6a9668207c9efde27afb6deaa09c50de1afc73412b0995f43	3110373	2314	1538782932	5764738	0x0000000000000000000000000000000000000000	7876899	7070568 
 
0xdc4b431e8c3468cf8a01f25d0da6267c247d37394d8abd36e6cc4e347525e3b5	3110180	1769	1538780037	5764494	0x0000000000000000000000000000000000000000	7785214	5605483 
 
0xa421d3f3e58eab2e59a594af28067bc5e24b616f6c48178a1724f87c70b9545f	3110134	2733	1538779347	5764433	0x0000000000000000000000000000000000000000	7770000	7725113 
 
0xe1dc60d83109accec07b5d0cc2482f645df1791f829849d51aa01c9a17342832	3110742	2923	1538788472	5765197	0x0000000000000000000000000000000000000000	7749312	1088634 
 
0xd3ce353d32de5bd5647d3034ca5ebbdc0de67d2833fffef8685e06a0f2d2418d	3110059	4235	1538778221	5764340	0x0000000000000000000000000000000000000000	7761934	1558840 
 
0xf424907eede8e273eb30514e1457e9e0ac69ab5d7742bc9901af36782fb09bc6	3110766	3319	1538788832	5765227	0x0000000000000000000000000000000000000000	7749291	7734077 
 
0xdcf38dd6a4e94a51b3310f1ad7091d3f8d2d5fba5c48949bc69126fca607ca97	3110740	2346	1538788442	5765195	0x0000000000000000000000000000000000000000	7751252	7154093 
 
0xe70684be5d31e98a9c0872a791f7c377a4a515773d05a69d4423e09fc047724f	3110070	3914	1538778386	5764353	0x0000000000000000000000000000000000000000	7752067	908298 
 
 
-----------------------------
running time of Sorting Blocks by number of Transaction increasing on the whole data (in milliseconds): 51
__________________________________________________________________________________________________

3.Sorting Transactions by Transaction Fee (gas Price) increasing:
block hash	block number	from	to	contract id	gas price	txn hash	index	value(token)
 
 
 
 
 
0xba27af791f95c42207935672f23d006f700052c750f2ddd0aa2afa848fabd643	3110685	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x55ab22c96101b1e03619271afc2a6af511e35d763b0026aa9caea24a8bd6ad55	21	0 
 
0x7085b381511cb6297656ac1b1c3b3faa543e266e14818814741f144694fa0d99	3110445	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0xece8bbd33295649258ca36a037644d31d1bfa2bb6535d41d83f38e5a57a2d492	22	0 
 
0x6ae4b7ab518350874909d069850c2019bfcbe43a9f0105eeb3666aa75a294c7d	3110030	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x59794359539112ba02607d2f664bc94314b63b01977a12206baf4558a4380314	42	0 
 
